occurrence_id,pair_id,side,rfw_group,fold_index,official_index,is_genuine
rfw:african:fold00:pair013:left,rfw:african:fold00:pair013,left,African,0,13,True
rfw:african:fold00:pair013:right,rfw:african:fold00:pair013,right,African,0,13,True
rfw:african:fold00:pair014:left,rfw:african:fold00:pair014,left,African,0,14,True
rfw:african:fold00:pair014:right,rfw:african:fold00:pair014,right,African,0,14,True
rfw:african:fold00:pair015:left,rfw:african:fold00:pair015,left,African,0,15,True
rfw:african:fold00:pair015:right,rfw:african:fold00:pair015,right,African,0,15,True
rfw:african:fold00:pair016:left,rfw:african:fold00:pair016,left,African,0,16,True
rfw:african:fold00:pair016:right,rfw:african:fold00:pair016,right,African,0,16,True
rfw:african:fold00:pair017:left,rfw:african:fold00:pair017,left,African,0,17,True
rfw:african:fold00:pair017:right,rfw:african:fold00:pair017,right,African,0,17,True
rfw:african:fold00:pair018:left,rfw:african:fold00:pair018,left,African,0,18,True
rfw:african:fold00:pair018:right,rfw:african:fold00:pair018,right,African,0,18,True
rfw:african:fold00:pair019:left,rfw:african:fold00:pair019,left,African,0,19,True
rfw:african:fold00:pair019:right,rfw:african:fold00:pair019,right,African,0,19,True
rfw:african:fold00:pair020:left,rfw:african:fold00:pair020,left,African,0,20,True
rfw:african:fold00:pair020:right,rfw:african:fold00:pair020,right,African,0,20,True
rfw:african:fold00:pair021:left,rfw:african:fold00:pair021,left,African,0,21,True
rfw:african:fold00:pair021:right,rfw:african:fold00:pair021,right,African,0,21,True
rfw:african:fold00:pair022:left,rfw:african:fold00:pair022,left,African,0,22,True
rfw:african:fold00:pair022:right,rfw:african:fold00:pair022,right,African,0,22,True
rfw:african:fold00:pair023:left,rfw:african:fold00:pair023,left,African,0,23,True
rfw:african:fold00:pair023:right,rfw:african:fold00:pair023,right,African,0,23,True
rfw:african:fold00:pair024:left,rfw:african:fold00:pair024,left,African,0,24,True
rfw:african:fold00:pair024:right,rfw:african:fold00:pair024,right,African,0,24,True
rfw:african:fold00:pair025:left,rfw:african:fold00:pair025,left,African,0,25,True
rfw:african:fold00:pair025:right,rfw:african:fold00:pair025,right,African,0,25,True
rfw:african:fold00:pair026:left,rfw:african:fold00:pair026,left,African,0,26,True
rfw:african:fold00:pair026:right,rfw:african:fold00:pair026,right,African,0,26,True
rfw:african:fold00:pair027:left,rfw:african:fold00:pair027,left,African,0,27,True
rfw:african:fold00:pair027:right,rfw:african:fold00:pair027,right,African,0,27,True
rfw:african:fold00:pair028:left,rfw:african:fold00:pair028,left,African,0,28,True
rfw:african:fold00:pair028:right,rfw:african:fold00:pair028,right,African,0,28,True
rfw:african:fold00:pair029:left,rfw:african:fold00:pair029,left,African,0,29,True
rfw:african:fold00:pair029:right,rfw:african:fold00:pair029,right,African,0,29,True
rfw:african:fold00:pair030:left,rfw:african:fold00:pair030,left,African,0,30,True
rfw:african:fold00:pair030:right,rfw:african:fold00:pair030,right,African,0,30,True
rfw:african:fold00:pair031:left,rfw:african:fold00:pair031,left,African,0,31,True
rfw:african:fold00:pair031:right,rfw:african:fold00:pair031,right,African,0,31,True
rfw:african:fold00:pair032:left,rfw:african:fold00:pair032,left,African,0,32,True
rfw:african:fold00:pair032:right,rfw:african:fold00:pair032,right,African,0,32,True
rfw:african:fold00:pair033:left,rfw:african:fold00:pair033,left,African,0,33,True
rfw:african:fold00:pair033:right,rfw:african:fold00:pair033,right,African,0,33,True
rfw:african:fold00:pair034:left,rfw:african:fold00:pair034,left,African,0,34,True
rfw:african:fold00:pair034:right,rfw:african:fold00:pair034,right,African,0,34,True
rfw:african:fold00:pair035:left,rfw:african:fold00:pair035,left,African,0,35,True
rfw:african:fold00:pair035:right,rfw:african:fold00:pair035,right,African,0,35,True
rfw:african:fold00:pair036:left,rfw:african:fold00:pair036,left,African,0,36,True
rfw:african:fold00:pair036:right,rfw:african:fold00:pair036,right,African,0,36,True
rfw:african:fold00:pair037:left,rfw:african:fold00:pair037,left,African,0,37,True
rfw:african:fold00:pair037:right,rfw:african:fold00:pair037,right,African,0,37,True
rfw:african:fold00:pair038:left,rfw:african:fold00:pair038,left,African,0,38,True
rfw:african:fold00:pair038:right,rfw:african:fold00:pair038,right,African,0,38,True
rfw:african:fold00:pair039:left,rfw:african:fold00:pair039,left,African,0,39,True
rfw:african:fold00:pair039:right,rfw:african:fold00:pair039,right,African,0,39,True
rfw:african:fold00:pair040:left,rfw:african:fold00:pair040,left,African,0,40,True
rfw:african:fold00:pair040:right,rfw:african:fold00:pair040,right,African,0,40,True
rfw:african:fold00:pair041:left,rfw:african:fold00:pair041,left,African,0,41,True
rfw:african:fold00:pair041:right,rfw:african:fold00:pair041,right,African,0,41,True
rfw:african:fold00:pair042:left,rfw:african:fold00:pair042,left,African,0,42,True
rfw:african:fold00:pair042:right,rfw:african:fold00:pair042,right,African,0,42,True
rfw:african:fold00:pair043:left,rfw:african:fold00:pair043,left,African,0,43,True
rfw:african:fold00:pair043:right,rfw:african:fold00:pair043,right,African,0,43,True
rfw:african:fold00:pair044:left,rfw:african:fold00:pair044,left,African,0,44,True
rfw:african:fold00:pair044:right,rfw:african:fold00:pair044,right,African,0,44,True
rfw:african:fold00:pair045:left,rfw:african:fold00:pair045,left,African,0,45,True
rfw:african:fold00:pair045:right,rfw:african:fold00:pair045,right,African,0,45,True
rfw:african:fold00:pair046:left,rfw:african:fold00:pair046,left,African,0,46,True
rfw:african:fold00:pair046:right,rfw:african:fold00:pair046,right,African,0,46,True
rfw:african:fold00:pair047:left,rfw:african:fold00:pair047,left,African,0,47,True
rfw:african:fold00:pair047:right,rfw:african:fold00:pair047,right,African,0,47,True
rfw:african:fold00:pair048:left,rfw:african:fold00:pair048,left,African,0,48,True
rfw:african:fold00:pair048:right,rfw:african:fold00:pair048,right,African,0,48,True
rfw:african:fold00:pair049:left,rfw:african:fold00:pair049,left,African,0,49,True
rfw:african:fold00:pair049:right,rfw:african:fold00:pair049,right,African,0,49,True
rfw:african:fold00:pair050:left,rfw:african:fold00:pair050,left,African,0,50,True
rfw:african:fold00:pair050:right,rfw:african:fold00:pair050,right,African,0,50,True
rfw:african:fold00:pair051:left,rfw:african:fold00:pair051,left,African,0,51,True
rfw:african:fold00:pair051:right,rfw:african:fold00:pair051,right,African,0,51,True
rfw:african:fold00:pair052:left,rfw:african:fold00:pair052,left,African,0,52,True
rfw:african:fold00:pair052:right,rfw:african:fold00:pair052,right,African,0,52,True
rfw:african:fold00:pair053:left,rfw:african:fold00:pair053,left,African,0,53,True
rfw:african:fold00:pair053:right,rfw:african:fold00:pair053,right,African,0,53,True
rfw:african:fold00:pair054:left,rfw:african:fold00:pair054,left,African,0,54,True
rfw:african:fold00:pair054:right,rfw:african:fold00:pair054,right,African,0,54,True
rfw:african:fold00:pair055:left,rfw:african:fold00:pair055,left,African,0,55,True
rfw:african:fold00:pair055:right,rfw:african:fold00:pair055,right,African,0,55,True
rfw:african:fold00:pair056:left,rfw:african:fold00:pair056,left,African,0,56,True
rfw:african:fold00:pair056:right,rfw:african:fold00:pair056,right,African,0,56,True
rfw:african:fold00:pair057:left,rfw:african:fold00:pair057,left,African,0,57,True
rfw:african:fold00:pair057:right,rfw:african:fold00:pair057,right,African,0,57,True
rfw:african:fold00:pair058:left,rfw:african:fold00:pair058,left,African,0,58,True
rfw:african:fold00:pair058:right,rfw:african:fold00:pair058,right,African,0,58,True
rfw:african:fold00:pair059:left,rfw:african:fold00:pair059,left,African,0,59,True
rfw:african:fold00:pair059:right,rfw:african:fold00:pair059,right,African,0,59,True
rfw:african:fold00:pair060:left,rfw:african:fold00:pair060,left,African,0,60,True
rfw:african:fold00:pair060:right,rfw:african:fold00:pair060,right,African,0,60,True
rfw:african:fold00:pair061:left,rfw:african:fold00:pair061,left,African,0,61,True
rfw:african:fold00:pair061:right,rfw:african:fold00:pair061,right,African,0,61,True
rfw:african:fold00:pair062:left,rfw:african:fold00:pair062,left,African,0,62,True
rfw:african:fold00:pair062:right,rfw:african:fold00:pair062,right,African,0,62,True
rfw:african:fold00:pair063:left,rfw:african:fold00:pair063,left,African,0,63,True
rfw:african:fold00:pair063:right,rfw:african:fold00:pair063,right,African,0,63,True
rfw:african:fold00:pair064:left,rfw:african:fold00:pair064,left,African,0,64,True
rfw:african:fold00:pair064:right,rfw:african:fold00:pair064,right,African,0,64,True
rfw:african:fold00:pair065:left,rfw:african:fold00:pair065,left,African,0,65,True
rfw:african:fold00:pair065:right,rfw:african:fold00:pair065,right,African,0,65,True
rfw:african:fold00:pair066:left,rfw:african:fold00:pair066,left,African,0,66,True
rfw:african:fold00:pair066:right,rfw:african:fold00:pair066,right,African,0,66,True
rfw:african:fold00:pair067:left,rfw:african:fold00:pair067,left,African,0,67,True
rfw:african:fold00:pair067:right,rfw:african:fold00:pair067,right,African,0,67,True
rfw:african:fold00:pair068:left,rfw:african:fold00:pair068,left,African,0,68,True
rfw:african:fold00:pair068:right,rfw:african:fold00:pair068,right,African,0,68,True
rfw:african:fold00:pair069:left,rfw:african:fold00:pair069,left,African,0,69,True
rfw:african:fold00:pair069:right,rfw:african:fold00:pair069,right,African,0,69,True
rfw:african:fold00:pair070:left,rfw:african:fold00:pair070,left,African,0,70,True
rfw:african:fold00:pair070:right,rfw:african:fold00:pair070,right,African,0,70,True
rfw:african:fold00:pair071:left,rfw:african:fold00:pair071,left,African,0,71,True
rfw:african:fold00:pair071:right,rfw:african:fold00:pair071,right,African,0,71,True
rfw:african:fold00:pair072:left,rfw:african:fold00:pair072,left,African,0,72,True
rfw:african:fold00:pair072:right,rfw:african:fold00:pair072,right,African,0,72,True
rfw:african:fold00:pair073:left,rfw:african:fold00:pair073,left,African,0,73,True
rfw:african:fold00:pair073:right,rfw:african:fold00:pair073,right,African,0,73,True
rfw:african:fold00:pair074:left,rfw:african:fold00:pair074,left,African,0,74,True
rfw:african:fold00:pair074:right,rfw:african:fold00:pair074,right,African,0,74,True
rfw:african:fold00:pair075:left,rfw:african:fold00:pair075,left,African,0,75,True
rfw:african:fold00:pair075:right,rfw:african:fold00:pair075,right,African,0,75,True
rfw:african:fold00:pair076:left,rfw:african:fold00:pair076,left,African,0,76,True
rfw:african:fold00:pair076:right,rfw:african:fold00:pair076,right,African,0,76,True
rfw:african:fold00:pair077:left,rfw:african:fold00:pair077,left,African,0,77,True
rfw:african:fold00:pair077:right,rfw:african:fold00:pair077,right,African,0,77,True
rfw:african:fold00:pair078:left,rfw:african:fold00:pair078,left,African,0,78,True
rfw:african:fold00:pair078:right,rfw:african:fold00:pair078,right,African,0,78,True
rfw:african:fold00:pair079:left,rfw:african:fold00:pair079,left,African,0,79,True
rfw:african:fold00:pair079:right,rfw:african:fold00:pair079,right,African,0,79,True
rfw:african:fold00:pair080:left,rfw:african:fold00:pair080,left,African,0,80,True
rfw:african:fold00:pair080:right,rfw:african:fold00:pair080,right,African,0,80,True
rfw:african:fold00:pair081:left,rfw:african:fold00:pair081,left,African,0,81,True
rfw:african:fold00:pair081:right,rfw:african:fold00:pair081,right,African,0,81,True
rfw:african:fold00:pair082:left,rfw:african:fold00:pair082,left,African,0,82,True
rfw:african:fold00:pair082:right,rfw:african:fold00:pair082,right,African,0,82,True
rfw:african:fold00:pair083:left,rfw:african:fold00:pair083,left,African,0,83,True
rfw:african:fold00:pair083:right,rfw:african:fold00:pair083,right,African,0,83,True
rfw:african:fold00:pair084:left,rfw:african:fold00:pair084,left,African,0,84,True
rfw:african:fold00:pair084:right,rfw:african:fold00:pair084,right,African,0,84,True
rfw:african:fold00:pair085:left,rfw:african:fold00:pair085,left,African,0,85,True
rfw:african:fold00:pair085:right,rfw:african:fold00:pair085,right,African,0,85,True
rfw:african:fold00:pair086:left,rfw:african:fold00:pair086,left,African,0,86,True
rfw:african:fold00:pair086:right,rfw:african:fold00:pair086,right,African,0,86,True
rfw:african:fold00:pair087:left,rfw:african:fold00:pair087,left,African,0,87,True
rfw:african:fold00:pair087:right,rfw:african:fold00:pair087,right,African,0,87,True
rfw:african:fold00:pair088:left,rfw:african:fold00:pair088,left,African,0,88,True
rfw:african:fold00:pair088:right,rfw:african:fold00:pair088,right,African,0,88,True
rfw:african:fold00:pair089:left,rfw:african:fold00:pair089,left,African,0,89,True
rfw:african:fold00:pair089:right,rfw:african:fold00:pair089,right,African,0,89,True
rfw:african:fold00:pair090:left,rfw:african:fold00:pair090,left,African,0,90,True
rfw:african:fold00:pair090:right,rfw:african:fold00:pair090,right,African,0,90,True
rfw:african:fold00:pair091:left,rfw:african:fold00:pair091,left,African,0,91,True
rfw:african:fold00:pair091:right,rfw:african:fold00:pair091,right,African,0,91,True
rfw:african:fold00:pair092:left,rfw:african:fold00:pair092,left,African,0,92,True
rfw:african:fold00:pair092:right,rfw:african:fold00:pair092,right,African,0,92,True
rfw:african:fold00:pair093:left,rfw:african:fold00:pair093,left,African,0,93,True
rfw:african:fold00:pair093:right,rfw:african:fold00:pair093,right,African,0,93,True
rfw:african:fold00:pair094:left,rfw:african:fold00:pair094,left,African,0,94,True
rfw:african:fold00:pair094:right,rfw:african:fold00:pair094,right,African,0,94,True
rfw:african:fold00:pair095:left,rfw:african:fold00:pair095,left,African,0,95,True
rfw:african:fold00:pair095:right,rfw:african:fold00:pair095,right,African,0,95,True
rfw:african:fold00:pair096:left,rfw:african:fold00:pair096,left,African,0,96,True
rfw:african:fold00:pair096:right,rfw:african:fold00:pair096,right,African,0,96,True
rfw:african:fold00:pair097:left,rfw:african:fold00:pair097,left,African,0,97,True
rfw:african:fold00:pair097:right,rfw:african:fold00:pair097,right,African,0,97,True
rfw:african:fold00:pair098:left,rfw:african:fold00:pair098,left,African,0,98,True
rfw:african:fold00:pair098:right,rfw:african:fold00:pair098,right,African,0,98,True
rfw:african:fold00:pair099:left,rfw:african:fold00:pair099,left,African,0,99,True
rfw:african:fold00:pair099:right,rfw:african:fold00:pair099,right,African,0,99,True
rfw:african:fold00:pair100:left,rfw:african:fold00:pair100,left,African,0,100,True
rfw:african:fold00:pair100:right,rfw:african:fold00:pair100,right,African,0,100,True
rfw:african:fold00:pair101:left,rfw:african:fold00:pair101,left,African,0,101,True
rfw:african:fold00:pair101:right,rfw:african:fold00:pair101,right,African,0,101,True
rfw:african:fold00:pair102:left,rfw:african:fold00:pair102,left,African,0,102,True
rfw:african:fold00:pair102:right,rfw:african:fold00:pair102,right,African,0,102,True
rfw:african:fold00:pair103:left,rfw:african:fold00:pair103,left,African,0,103,True
rfw:african:fold00:pair103:right,rfw:african:fold00:pair103,right,African,0,103,True
rfw:african:fold00:pair104:left,rfw:african:fold00:pair104,left,African,0,104,True
rfw:african:fold00:pair104:right,rfw:african:fold00:pair104,right,African,0,104,True
rfw:african:fold00:pair105:left,rfw:african:fold00:pair105,left,African,0,105,True
rfw:african:fold00:pair105:right,rfw:african:fold00:pair105,right,African,0,105,True
rfw:african:fold00:pair106:left,rfw:african:fold00:pair106,left,African,0,106,True
rfw:african:fold00:pair106:right,rfw:african:fold00:pair106,right,African,0,106,True
rfw:african:fold00:pair107:left,rfw:african:fold00:pair107,left,African,0,107,True
rfw:african:fold00:pair107:right,rfw:african:fold00:pair107,right,African,0,107,True
rfw:african:fold00:pair108:left,rfw:african:fold00:pair108,left,African,0,108,True
rfw:african:fold00:pair108:right,rfw:african:fold00:pair108,right,African,0,108,True
rfw:african:fold00:pair109:left,rfw:african:fold00:pair109,left,African,0,109,True
rfw:african:fold00:pair109:right,rfw:african:fold00:pair109,right,African,0,109,True
rfw:african:fold00:pair110:left,rfw:african:fold00:pair110,left,African,0,110,True
rfw:african:fold00:pair110:right,rfw:african:fold00:pair110,right,African,0,110,True
rfw:african:fold00:pair111:left,rfw:african:fold00:pair111,left,African,0,111,True
rfw:african:fold00:pair111:right,rfw:african:fold00:pair111,right,African,0,111,True
rfw:african:fold00:pair112:left,rfw:african:fold00:pair112,left,African,0,112,True
rfw:african:fold00:pair112:right,rfw:african:fold00:pair112,right,African,0,112,True
rfw:african:fold00:pair113:left,rfw:african:fold00:pair113,left,African,0,113,True
rfw:african:fold00:pair113:right,rfw:african:fold00:pair113,right,African,0,113,True
rfw:african:fold00:pair114:left,rfw:african:fold00:pair114,left,African,0,114,True
rfw:african:fold00:pair114:right,rfw:african:fold00:pair114,right,African,0,114,True
rfw:african:fold00:pair115:left,rfw:african:fold00:pair115,left,African,0,115,True
rfw:african:fold00:pair115:right,rfw:african:fold00:pair115,right,African,0,115,True
rfw:african:fold00:pair116:left,rfw:african:fold00:pair116,left,African,0,116,True
rfw:african:fold00:pair116:right,rfw:african:fold00:pair116,right,African,0,116,True
rfw:african:fold00:pair117:left,rfw:african:fold00:pair117,left,African,0,117,True
rfw:african:fold00:pair117:right,rfw:african:fold00:pair117,right,African,0,117,True
rfw:african:fold00:pair118:left,rfw:african:fold00:pair118,left,African,0,118,True
rfw:african:fold00:pair118:right,rfw:african:fold00:pair118,right,African,0,118,True
rfw:african:fold00:pair119:left,rfw:african:fold00:pair119,left,African,0,119,True
rfw:african:fold00:pair119:right,rfw:african:fold00:pair119,right,African,0,119,True
rfw:african:fold00:pair120:left,rfw:african:fold00:pair120,left,African,0,120,True
rfw:african:fold00:pair120:right,rfw:african:fold00:pair120,right,African,0,120,True
rfw:african:fold00:pair121:left,rfw:african:fold00:pair121,left,African,0,121,True
rfw:african:fold00:pair121:right,rfw:african:fold00:pair121,right,African,0,121,True
rfw:african:fold00:pair122:left,rfw:african:fold00:pair122,left,African,0,122,True
rfw:african:fold00:pair122:right,rfw:african:fold00:pair122,right,African,0,122,True
rfw:african:fold00:pair123:left,rfw:african:fold00:pair123,left,African,0,123,True
rfw:african:fold00:pair123:right,rfw:african:fold00:pair123,right,African,0,123,True
rfw:african:fold00:pair124:left,rfw:african:fold00:pair124,left,African,0,124,True
rfw:african:fold00:pair124:right,rfw:african:fold00:pair124,right,African,0,124,True
rfw:african:fold00:pair125:left,rfw:african:fold00:pair125,left,African,0,125,True
rfw:african:fold00:pair125:right,rfw:african:fold00:pair125,right,African,0,125,True
rfw:african:fold00:pair126:left,rfw:african:fold00:pair126,left,African,0,126,True
rfw:african:fold00:pair126:right,rfw:african:fold00:pair126,right,African,0,126,True
rfw:african:fold00:pair127:left,rfw:african:fold00:pair127,left,African,0,127,True
rfw:african:fold00:pair127:right,rfw:african:fold00:pair127,right,African,0,127,True
rfw:african:fold00:pair128:left,rfw:african:fold00:pair128,left,African,0,128,True
rfw:african:fold00:pair128:right,rfw:african:fold00:pair128,right,African,0,128,True
rfw:african:fold00:pair129:left,rfw:african:fold00:pair129,left,African,0,129,True
rfw:african:fold00:pair129:right,rfw:african:fold00:pair129,right,African,0,129,True
rfw:african:fold00:pair130:left,rfw:african:fold00:pair130,left,African,0,130,True
rfw:african:fold00:pair130:right,rfw:african:fold00:pair130,right,African,0,130,True
rfw:african:fold00:pair131:left,rfw:african:fold00:pair131,left,African,0,131,True
rfw:african:fold00:pair131:right,rfw:african:fold00:pair131,right,African,0,131,True
rfw:african:fold00:pair132:left,rfw:african:fold00:pair132,left,African,0,132,True
rfw:african:fold00:pair132:right,rfw:african:fold00:pair132,right,African,0,132,True
rfw:african:fold00:pair133:left,rfw:african:fold00:pair133,left,African,0,133,True
rfw:african:fold00:pair133:right,rfw:african:fold00:pair133,right,African,0,133,True
rfw:african:fold00:pair134:left,rfw:african:fold00:pair134,left,African,0,134,True
rfw:african:fold00:pair134:right,rfw:african:fold00:pair134,right,African,0,134,True
rfw:african:fold00:pair135:left,rfw:african:fold00:pair135,left,African,0,135,True
rfw:african:fold00:pair135:right,rfw:african:fold00:pair135,right,African,0,135,True
rfw:african:fold00:pair136:left,rfw:african:fold00:pair136,left,African,0,136,True
rfw:african:fold00:pair136:right,rfw:african:fold00:pair136,right,African,0,136,True
rfw:african:fold00:pair137:left,rfw:african:fold00:pair137,left,African,0,137,True
rfw:african:fold00:pair137:right,rfw:african:fold00:pair137,right,African,0,137,True
rfw:african:fold00:pair138:left,rfw:african:fold00:pair138,left,African,0,138,True
rfw:african:fold00:pair138:right,rfw:african:fold00:pair138,right,African,0,138,True
rfw:african:fold00:pair139:left,rfw:african:fold00:pair139,left,African,0,139,True
rfw:african:fold00:pair139:right,rfw:african:fold00:pair139,right,African,0,139,True
rfw:african:fold00:pair140:left,rfw:african:fold00:pair140,left,African,0,140,True
rfw:african:fold00:pair140:right,rfw:african:fold00:pair140,right,African,0,140,True
rfw:african:fold00:pair141:left,rfw:african:fold00:pair141,left,African,0,141,True
rfw:african:fold00:pair141:right,rfw:african:fold00:pair141,right,African,0,141,True
rfw:african:fold00:pair142:left,rfw:african:fold00:pair142,left,African,0,142,True
rfw:african:fold00:pair142:right,rfw:african:fold00:pair142,right,African,0,142,True
rfw:african:fold00:pair143:left,rfw:african:fold00:pair143,left,African,0,143,True
rfw:african:fold00:pair143:right,rfw:african:fold00:pair143,right,African,0,143,True
rfw:african:fold00:pair144:left,rfw:african:fold00:pair144,left,African,0,144,True
rfw:african:fold00:pair144:right,rfw:african:fold00:pair144,right,African,0,144,True
rfw:african:fold00:pair145:left,rfw:african:fold00:pair145,left,African,0,145,True
rfw:african:fold00:pair145:right,rfw:african:fold00:pair145,right,African,0,145,True
rfw:african:fold00:pair146:left,rfw:african:fold00:pair146,left,African,0,146,True
rfw:african:fold00:pair146:right,rfw:african:fold00:pair146,right,African,0,146,True
rfw:african:fold00:pair147:left,rfw:african:fold00:pair147,left,African,0,147,True
rfw:african:fold00:pair147:right,rfw:african:fold00:pair147,right,African,0,147,True
rfw:african:fold00:pair148:left,rfw:african:fold00:pair148,left,African,0,148,True
rfw:african:fold00:pair148:right,rfw:african:fold00:pair148,right,African,0,148,True
rfw:african:fold00:pair149:left,rfw:african:fold00:pair149,left,African,0,149,True
rfw:african:fold00:pair149:right,rfw:african:fold00:pair149,right,African,0,149,True
rfw:african:fold00:pair150:left,rfw:african:fold00:pair150,left,African,0,150,True
rfw:african:fold00:pair150:right,rfw:african:fold00:pair150,right,African,0,150,True
rfw:african:fold00:pair151:left,rfw:african:fold00:pair151,left,African,0,151,True
rfw:african:fold00:pair151:right,rfw:african:fold00:pair151,right,African,0,151,True
rfw:african:fold00:pair152:left,rfw:african:fold00:pair152,left,African,0,152,True
rfw:african:fold00:pair152:right,rfw:african:fold00:pair152,right,African,0,152,True
rfw:african:fold00:pair153:left,rfw:african:fold00:pair153,left,African,0,153,True
rfw:african:fold00:pair153:right,rfw:african:fold00:pair153,right,African,0,153,True
rfw:african:fold00:pair154:left,rfw:african:fold00:pair154,left,African,0,154,True
rfw:african:fold00:pair154:right,rfw:african:fold00:pair154,right,African,0,154,True
rfw:african:fold00:pair155:left,rfw:african:fold00:pair155,left,African,0,155,True
rfw:african:fold00:pair155:right,rfw:african:fold00:pair155,right,African,0,155,True
rfw:african:fold00:pair156:left,rfw:african:fold00:pair156,left,African,0,156,True
rfw:african:fold00:pair156:right,rfw:african:fold00:pair156,right,African,0,156,True
rfw:african:fold00:pair157:left,rfw:african:fold00:pair157,left,African,0,157,True
rfw:african:fold00:pair157:right,rfw:african:fold00:pair157,right,African,0,157,True
rfw:african:fold00:pair158:left,rfw:african:fold00:pair158,left,African,0,158,True
rfw:african:fold00:pair158:right,rfw:african:fold00:pair158,right,African,0,158,True
rfw:african:fold00:pair159:left,rfw:african:fold00:pair159,left,African,0,159,True
rfw:african:fold00:pair159:right,rfw:african:fold00:pair159,right,African,0,159,True
rfw:african:fold00:pair160:left,rfw:african:fold00:pair160,left,African,0,160,True
rfw:african:fold00:pair160:right,rfw:african:fold00:pair160,right,African,0,160,True
rfw:african:fold00:pair161:left,rfw:african:fold00:pair161,left,African,0,161,True
rfw:african:fold00:pair161:right,rfw:african:fold00:pair161,right,African,0,161,True
rfw:african:fold00:pair162:left,rfw:african:fold00:pair162,left,African,0,162,True
rfw:african:fold00:pair162:right,rfw:african:fold00:pair162,right,African,0,162,True
rfw:african:fold00:pair163:left,rfw:african:fold00:pair163,left,African,0,163,True
rfw:african:fold00:pair163:right,rfw:african:fold00:pair163,right,African,0,163,True
rfw:african:fold00:pair164:left,rfw:african:fold00:pair164,left,African,0,164,True
rfw:african:fold00:pair164:right,rfw:african:fold00:pair164,right,African,0,164,True
rfw:african:fold00:pair165:left,rfw:african:fold00:pair165,left,African,0,165,True
rfw:african:fold00:pair165:right,rfw:african:fold00:pair165,right,African,0,165,True
rfw:african:fold00:pair166:left,rfw:african:fold00:pair166,left,African,0,166,True
rfw:african:fold00:pair166:right,rfw:african:fold00:pair166,right,African,0,166,True
rfw:african:fold00:pair167:left,rfw:african:fold00:pair167,left,African,0,167,True
rfw:african:fold00:pair167:right,rfw:african:fold00:pair167,right,African,0,167,True
rfw:african:fold00:pair168:left,rfw:african:fold00:pair168,left,African,0,168,True
rfw:african:fold00:pair168:right,rfw:african:fold00:pair168,right,African,0,168,True
rfw:african:fold00:pair169:left,rfw:african:fold00:pair169,left,African,0,169,True
rfw:african:fold00:pair169:right,rfw:african:fold00:pair169,right,African,0,169,True
rfw:african:fold00:pair170:left,rfw:african:fold00:pair170,left,African,0,170,True
rfw:african:fold00:pair170:right,rfw:african:fold00:pair170,right,African,0,170,True
rfw:african:fold00:pair171:left,rfw:african:fold00:pair171,left,African,0,171,True
rfw:african:fold00:pair171:right,rfw:african:fold00:pair171,right,African,0,171,True
rfw:african:fold00:pair172:left,rfw:african:fold00:pair172,left,African,0,172,True
rfw:african:fold00:pair172:right,rfw:african:fold00:pair172,right,African,0,172,True
rfw:african:fold00:pair173:left,rfw:african:fold00:pair173,left,African,0,173,True
rfw:african:fold00:pair173:right,rfw:african:fold00:pair173,right,African,0,173,True
